ID,age,residence,universityCollege,academicYear,inpersonRemote,credits,fulltimeParttime,gender,,housingSatisfaction,shareResidence,liveWithOthersWho,preferLivingAloneOrNo,liveWithHowMany,monthlyRent,,rentConcern,universityCostsPerSemester,,financialFreedom,,financialControl,,rentStressOccurance,,rentImpactMentalHealth,,currentWellbeingRent,,,,,supportiveOrNo,,socialHelpStressReduction,,,prioritizedPayingRentYesNo,,prioritizationExtentImpact,,rentPayingConfidence,,lastingImpactRent,,,,,,,,wellbeingScore
10,21,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I have no strong preference,3,$501 - $750,Slightly concerned,7,"$3,001 - $4,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Moderate impact,5,High,7,45659,A few times a month,3,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance",Moderately effective,Yes,Moderate impact,5,Completely confident,10,"Yes, moderately",3,"paying rent is one of the largest consistent costs to everyone. Students who are in school full time balance other things in their life and make sacrifices one way or another (working more to make money instead of studying or spending time with loved ones). I am graduating with $14,000 of debt and it will take me years to pay this off completely ","No, but I have considered it",Not effective at all,,57.5,43.33,65,54.75
11,21,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Non-binary,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live alone,1,"$751 - $1,000",Slightly concerned,7,"$1 - $1,000","No, I feel very restricted",0,Moderate control,5,Sometimes,5,Slight impact,7,Average,5,More than 6,Several times a week,7,"Yes, definitely",10,Slight reduction,3,"Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus,Utilizing campus or community assistance programs (e.g., food pantry, emergency funds)",Slightly effective,Yes,Moderate impact,5,Completely confident,10,"Yes, slightly",7,,"No, but I have considered it",,,46.25,66.67,85,60.13
12,20,Rented house (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live with others,4,$501 - $750,Moderately concerned,5,"$7,001 - $8,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Moderate impact,5,Low,3,45720,Daily,10,"Somewhat, I have some supportive people",5,Significant reduction,7,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus",Very effective,No,No impact,10,Moderately confident,5,"Yes, moderately",3,,No,,,51.25,73.33,40,55.63
13,19,Rented house (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I have no strong preference,2,$251 - $500,Not concerned at all,10,"$1 - $1,000","Somewhat, I have limited freedom",5,Significant control,7,Never,10,No impact,10,Average,5,45720,Daily,10,"Yes, definitely",10,Moderate reduction,5,"Receiving financial support from family,Relying on financial aid or scholarships,Negotiating rent or seeking roommate changes to reduce costs",Extremely effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,80,83.33,100,85
14,18,Miller Hall,University of Montana,Freshman,In-person student (most classes on campus),More than 19,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live alone,1,I do not pay rent,Slightly concerned,7,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Never,10,No impact,10,Average,5,45659,Once a week,5,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance",Very effective,No,No impact,10,Completely confident,10,"Yes, slightly",7,Paying back my parents for helping me with housing.,"No, but I have considered it",Not effective at all,,68.75,50,85,66.38
15,21,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),12-Jul,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I have no strong preference,1,$501 - $750,Slightly concerned,7,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Yes, I feel fully free to make spending decisions",10,Moderate control,5,Rarely,7,Slight impact,7,Average,5,0,Daily,10,"Yes, definitely",10,No reduction in stress,0,"Budgeting carefully,Cutting other expenses (e.g., food, entertainment)",Slightly effective,Yes,Moderate impact,5,Very confident,7,No impact,10,,No,,,66.25,66.67,85,70.13
16,20,Rented house (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,Yes,"Family (parents, siblings, relatives)",I prefer to live alone,2,$251 - $500,Not concerned at all,10,"$4,001 - $5,000","Somewhat, I have limited freedom",5,Significant control,7,Never,10,No impact,10,High,7,45720,Several times a week,7,"Yes, definitely",10,Moderate reduction,5,Budgeting carefully,Very effective,No,No impact,10,Completely confident,10,No impact,10,,No,,,82.5,73.33,100,83.25
17,21,Lewis and Clark Village,University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,$501 - $750,Not concerned at all,10,"$6,001 - $7,000","Somewhat, I have limited freedom",5,Significant control,7,Rarely,7,Slight impact,7,High,7,45720,Several times a week,7,"Yes, definitely",10,Slight reduction,3,"Budgeting carefully,Working extra hours or multiple jobs",Moderately effective,No,Slight impact,7,Very confident,7,No impact,10,,No,,,71.25,66.67,85,72.63
18,22,Craighead-Sisson Village,University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,$501 - $750,Not concerned at all,10,"$3,001 - $4,000","Yes, I feel fully free to make spending decisions",10,Complete control,10,Never,10,Slight impact,7,High,7,45659,Daily,10,"Yes, definitely",10,Significant reduction,7,"Relying on financial aid or scholarships,Negotiating rent or seeking roommate changes to reduce costs",Moderately effective,No,,10,Very confident,7,No impact,10,,No,,,88.75,90,85,88.38
19,19,Pantzer Hall,University of Montana,Sophomore,In-person student (most classes on campus),More than 19,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live alone,3,I do not pay rent,Moderately concerned,5,"$7,001 - $8,000","Somewhat, I have limited freedom",5,Significant control,7,Sometimes,5,Moderate impact,5,Average,5,45659,Once a week,5,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Exploring cheaper housing options farther from campus,Negotiating rent or seeking roommate changes to reduce costs",Moderately effective,No,No impact,10,Completely confident,10,No impact,10,,No,Not effective at all,,61.25,50,100,65.63
20,23,Aber Hall,University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Man,High (Mostly satisfied with minor problems or concerns.),7,No,,I prefer to live with others,0,I do not pay rent,Not concerned at all,10,"$6,001 - $7,000","No, I feel very restricted",0,Little control,3,Never,10,No impact,10,Average,5,45659,Several times a week,7,"No, I do not feel supported",0,Slight reduction,3,"Budgeting carefully,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Slightly effective,No,,10,Completely confident,10,"Yes, significantly",0,,"Yes, from on-campus counseling services",Slightly effective,,68.75,33.33,50,54.38
21,20,Rented apartment (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),More than 19,Full-time student,Woman,Very High (Completely satisfied with no housing concerns.),10,Yes,Partner/Significant other,I have no strong preference,1,$501 - $750,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Yes, I feel fully free to make spending decisions",10,Significant control,7,Never,10,No impact,10,Very High,10,45720,Daily,10,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Relying on financial aid or scholarships,Exploring cheaper housing options farther from campus",Extremely effective,No,No impact,10,Completely confident,10,No impact,10,,No,,no,96.25,90,100,95.13
22,20,Rented apartment (not University-affiliated),University of Montana,Sophomore,In-person student (most classes on campus),12-Jul,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,"Family (parents, siblings, relatives)",I prefer to live with others,1,$501 - $750,Slightly concerned,7,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Rarely,7,Slight impact,7,Average,5,45720,Once a week,5,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Moderately effective,No,No impact,10,Completely confident,10,"Yes, slightly",7,,No,,,66.25,50,85,65.13
23,22,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,Very High (Completely satisfied with no housing concerns.),10,No,,I prefer to live alone,0,"$1,501 - $1,750",Slightly concerned,7,"$1 - $1,000","Yes, I feel fully free to make spending decisions",10,Complete control,10,Sometimes,5,No impact,10,Average,5,0,Daily,10,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Very effective,No,Moderate impact,5,Completely confident,10,No impact,10,,No,,,77.5,66.67,100,78.75
24,19,Knowles Hall,University of Montana,Freshman,In-person student (most classes on campus),More than 19,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I have no strong preference,1,I do not pay rent,Not concerned at all,10,"$1 - $1,000",Unsure,5,Moderate control,5,Rarely,7,No impact,10,High,7,45720,Daily,10,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment)",Moderately effective,No,No impact,10,Very confident,7,"Yes, slightly",7,"I am paying for housing with family assistance. The pricier my costs are now, the less support I will have beyond my undergraduate degree.",No,,,76.25,90,70,79.13
25,23,Lewis and Clark Village,University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live alone,2,$501 - $750,Not concerned at all,10,"$6,001 - $7,000","No, I feel very restricted",0,Moderate control,5,Rarely,7,Slight impact,7,Average,5,45659,Once a week,5,"Yes, definitely",10,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Cutting other expenses (e.g., food, entertainment)",Very effective,Yes,Slight impact,7,Very confident,7,No impact,10,,No,Moderately effective,,55,60,85,62.5
26,19,Craig Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I have no strong preference,1,I do not pay rent,Not concerned at all,10,"More than $10,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Slight impact,7,Average,5,45720,Several times a week,7,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus,Negotiating rent or seeking roommate changes to reduce costs",Moderately effective,Yes,Slight impact,7,Very confident,7,"Yes, slightly",7,I’ll have to move in with my family again after graduating as I won’t be able to save enough money to move out on my own and afford necessities outside of rent,"No, but I have considered it",,n/a,63.75,56.67,70,62.88
27,22,Toole Village,University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Non-binary,"Low (Some concerns about housing, but not overwhelming.)",3,No,,I prefer to live alone,0,$501 - $750,Moderately concerned,5,"$4,001 - $5,000","Somewhat, I have limited freedom",5,Significant control,7,Sometimes,5,Moderate impact,5,Average,5,45659,Daily,10,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance",Moderately effective,No,,10,Completely confident,10,No impact,10,,No,,,56.25,66.67,100,68.13
28,19,Knowles Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,$251 - $500,Moderately concerned,5,"More than $10,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Moderate impact,5,Average,5,45659,Once a week,5,"Yes, definitely",10,Significant reduction,7,"Receiving financial support from family,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus",Moderately effective,No,No impact,10,Moderately confident,5,"Yes, moderately",3,From loans ,"No, but I have considered it",Not effective at all,No,58.75,73.33,40,59.38
29,18,Aber Hall,University of Montana,Freshman,In-person student (most classes on campus),12-Jul,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,I do not pay rent,Very concerned,3,"$3,001 - $4,000","No, I feel very restricted",0,Moderate control,5,Never,10,No impact,10,Average,5,45659,Once a week,5,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus,Negotiating rent or seeking roommate changes to reduce costs,Utilizing campus or community assistance programs (e.g., food pantry, emergency funds)",Slightly effective,No,No impact,10,Completely confident,10,No impact,10,,"Yes, from off-campus/private therapy or support services",Extremely effective,To be more well informed of specific financial resources towards housing,62.5,43.33,100,64.25
30,18,Duniway Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,No,,I prefer to live alone,0,$250 or less,Not concerned at all,10,"$4,001 - $5,000","No, I feel very restricted",0,Little control,3,Rarely,7,Moderate impact,5,Average,5,45720,Several times a week,7,"No, I do not feel supported",0,Slight reduction,3,"Budgeting carefully,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Seeking loans or other financial assistance,Exploring cheaper housing options farther from campus",Slightly effective,No,No impact,10,Very confident,7,No impact,10,,No,Not effective at all,,53.75,33.33,85,53.88
31,19,Miller Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live alone,2,I do not pay rent,Not concerned at all,10,"$1 - $1,000","Yes, I feel fully free to make spending decisions",10,Moderate control,5,Rarely,7,Slight impact,7,Average,5,45720,Several times a week,7,"Yes, definitely",10,Moderate reduction,5,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Cutting other expenses (e.g., food, entertainment),Exploring cheaper housing options farther from campus",Moderately effective,No,No impact,10,Very confident,7,No impact,10,,No,,,71.25,73.33,85,74.63
32,19,Rented apartment (not University-affiliated),University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I prefer to live with others,1,"$1,001 - $1,250",Moderately concerned,5,"$1 - $1,000","Somewhat, I have limited freedom",5,Moderate control,5,Sometimes,5,Slight impact,7,Average,5,45659,Several times a week,7,"Somewhat, I have some supportive people",5,Slight reduction,3,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships",Moderately effective,Yes,Slight impact,7,Very confident,7,No impact,10,,No,,,52.5,50,85,58.25
33,19,Aber Hall,University of Montana,Freshman,In-person student (most classes on campus),13-18,Full-time student,Woman,"Low (Some concerns about housing, but not overwhelming.)",3,Yes,Roommates,I have no strong preference,1,I do not pay rent,Not concerned at all,10,"$1,001 - $2,000","Somewhat, I have limited freedom",5,Moderate control,5,Rarely,7,Slight impact,7,High,7,45720,Daily,10,"Yes, definitely",10,Significant reduction,7,"Budgeting carefully,Receiving financial support from family,Relying on financial aid or scholarships,Seeking loans or other financial assistance",Moderately effective,No,,10,Very confident,7,No impact,10,,No,,,67.5,90,85,77.75
34,Older than 23 years,Rented apartment (not University-affiliated),University of Montana,Senior,In-person student (most classes on campus),13-18,Full-time student,Woman,"Very Low (Constantly worried about housing, such as rent prices or safety.)",0,Yes,Partner/Significant other,I prefer to live alone,1,"$1,501 - $1,750",Moderately concerned,5,"$5,001 - $6,000","No, I feel very restricted",0,No control,0,Often,3,Significant impact,3,Low,3,45720,A few times a month,3,"Yes, definitely",10,Moderate reduction,5,"Budgeting carefully,Relying on financial aid or scholarships,Cutting other expenses (e.g., food, entertainment),Seeking loans or other financial assistance",Moderately effective,Yes,Significant impact,3,Moderately confident,5,"Yes, significantly",0,,"Yes, from off-campus/private therapy or support services",Moderately effective,,21.25,60,25,33.63
35,19,Craig Hall,University of Montana,Freshman,In-person student (most classes on campus),12-Jul,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,Roommates,I prefer to live with others,1,I do not pay rent,Not concerned at all,10,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Moderate control,5,Never,10,No impact,10,Average,5,45659,Daily,10,"Somewhat, I have some supportive people",5,Moderate reduction,5,"Budgeting carefully,Exploring cheaper housing options farther from campus",Moderately effective,No,Moderate impact,5,Moderately confident,5,No impact,10,,"Yes, from on-campus counseling services",Slightly effective,N/A,71.25,66.67,75,70.63
36,23,Lewis and Clark Village,University of Montana,Junior,In-person student (most classes on campus),13-18,Full-time student,Woman,High (Mostly satisfied with minor problems or concerns.),7,Yes,"Family (parents, siblings, relatives)",I prefer to live with others,2,$501 - $750,Slightly concerned,7,"I do not have any University-related expenses (my expenses are paid by outside sources, such as family support or scholarships)","Somewhat, I have limited freedom",5,Little control,3,Rarely,7,Slight impact,7,Average,5,45659,Several times a week,7,"Somewhat, I have some supportive people",5,Significant reduction,7,"Receiving financial support from family,Relying on financial aid or scholarships,Working extra hours or multiple jobs,Other (Please specify)",Very effective,No,No impact,10,Moderately confident,5,No impact,10,,No,,"I am very fortunate to have my school related expenses covered by my family and my boyfriend for the most part, but then I feel I have no control and I feel stuck in my relationship, even while working while in school ",63.75,63.33,75,65.88
